instance,seed,mpage_hv,nsga_hv,moead_hv,winner
0,2025,252.02773179172465,192.70944066096465,200.21531501725948,MPaGE
1,2026,276.00223899054055,217.18460771571597,215.73715161734808,MPaGE
2,2027,281.4782651456972,221.5263840611473,211.04534981921378,MPaGE
3,2028,268.12922887033,204.4993054840965,213.40117127451074,MPaGE
mean,,269.4093661995731,208.97993448048112,210.099746932083,MPaGE
