instance,seed,nsga_hv,semo_strict_hv,semo_loose_hv,semo2209_hv,moead_hv,winner,nsga_rejected,semo_strict_rejected,semo_loose_rejected,semo2209_rejected,moead_rejected
0,2025,192.70944066096465,163.1188443544173,252.02773179172465,214.29668291971336,200.21531501725948,SEMO-loose,0,1754,0,0,0
1,2026,217.18460771571597,199.25496264244458,276.00223899054055,232.04900784106792,215.73715161734808,SEMO-loose,0,1758,0,0,0
2,2027,221.5263840611473,201.82463421745226,281.4782651456972,236.7577842738906,211.04534981921378,SEMO-loose,0,1750,0,0,0
3,2028,204.4993054840965,176.5456271807694,268.12922887033,228.86599739145703,213.40117127451074,SEMO-loose,0,1757,0,0,0
